,candidate_id,name,party,net_receipts,rounded_net_receipts
141,P00009910,"WILLIAMSON, MARIANNE",DEMOCRATIC PARTY,68411.0,0.1
142,P00009910,"WILLIAMSON, MARIANNE",DEMOCRATIC PARTY,67864.0,0.1
143,P00009910,"WILLIAMSON, MARIANNE",DEMOCRATIC PARTY,63346.0,0.1
144,P00014407,"PATRICK, DEVAL",DEMOCRATIC PARTY,61590.0,0.1
145,P00014407,"PATRICK, DEVAL",DEMOCRATIC PARTY,58489.0,0.1
146,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,57860.0,0.1
147,P00009092,"CASTRO, JULIÁN",DEMOCRATIC PARTY,55177.0,0.1
148,P00009092,"CASTRO, JULIÁN",DEMOCRATIC PARTY,52894.0,0.1
149,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,52566.0,0.1
150,P00009910,"WILLIAMSON, MARIANNE",DEMOCRATIC PARTY,50868.0,0.1
151,P00014407,"PATRICK, DEVAL",DEMOCRATIC PARTY,49528.0,0.0
152,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,48115.0,0.0
153,P00009092,"CASTRO, JULIÁN",DEMOCRATIC PARTY,47768.0,0.0
154,P00009092,"CASTRO, JULIÁN",DEMOCRATIC PARTY,46833.0,0.0
